[Header]
Application Name	LabSolutions
Version	5.97
Data File Name	C:\Users\AG-LAB-EME2L\Desktop\Goldfarb Lab\Matteo\FW-CP-HTC\210_FWCP250C1h1_2_Method_F.7-.5-.7_B0-60-0_25min_210nm_5.lcd
Output Date	6/9/2023
Output Time	11:13:46 AM

[Configuration]
Instrument Name	MUFASA UV
Instrument #	6
Line #	1
# of Detectors	1
Detector ID	Detector A
Detector Name	Detector A
# of Channels	1

[Peak Table(Detector A)]
# of Peaks	36
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.783	1.467	1.833	11219	1704	6.585	0.000	   			0.000	857	175.009	0.000	0.000	0.000	0	0	0.000	0.000
2	2.029	1.833	2.033	41825	5255	7.960	12957.396	 V M	20	(2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanoic acid	0.138	0	0.000	0.000	0.000	0.000	0	0	2.568	2.568
3	2.168	2.033	2.300	386106	61376	6.291	7272.652	 V M	21	oxalic acid	0.216	2681	55.954	0.000	0.000	1.565	0	0	1.441	1.441
4	2.359	2.300	2.450	77735	10306	7.543	10988.070	 V 	2	formic acid	0.323	592	253.571	0.000	0.688	1.496	0	0	2.178	2.178
5	2.537	2.450	2.658	181315	22811	7.948	43338.167	 V 	24	2-hydroxypropanoic acid	0.423	1742	86.132	0.000	0.562	1.308	0	0	8.589	8.589
6	2.731	2.658	2.825	871615	206178	4.227	377558.102	 V M	5	acetic acid	0.532	7904	18.977	0.000	1.062	1.258	0	0	74.829	74.829
7	2.838	2.825	3.333	275331	18785	14.657	0.000	SV M			0.592	0	0.000	0.000	0.000	1.112	0	0	0.000	0.000
8	3.123	3.033	3.192	35050	6778	5.171	0.000	T  			0.752	6838	21.936	0.000	0.000	1.270	0	0	0.000	0.000
9	3.263	3.192	3.333	27549	5908	4.663	0.000	TV 			0.830	8345	17.974	0.000	0.956	1.105	0	0	0.000	0.000
10	3.449	3.333	3.525	388501	54010	7.193	0.000	 V M			0.935	3170	47.319	0.000	0.960	1.126	0	0	0.000	0.000
11	3.538	3.525	3.875	239481	27581	8.683	499.638	 V M	6	2H-furan-5-one	0.984	0	0.000	0.000	0.000	1.053	0	0	0.099	0.099
12	4.009	3.875	4.400	297262	18692	15.904	0.000	 V 			1.249	1390	107.888	0.000	0.000	1.269	0	0	0.000	0.000
13	4.450	4.400	4.608	37833	3632	10.416	0.000	 V 			1.496	172	874.500	0.000	0.492	1.198	0	0	0.000	0.000
14	4.747	4.608	4.850	57643	5104	11.294	0.000	 V 			1.663	1440	104.195	0.000	0.320	1.112	0	0	0.000	0.000
15	5.013	4.850	5.133	82906	6638	12.489	212.726	 V 	22	(E)-but-2-enedioic acid	1.812	2527	59.350	0.000	0.590	1.090	0	0	0.042	0.042
16	5.300	5.133	5.550	123164	7137	17.258	21410.509	 V 	4	propanoic acid	1.973	1682	89.153	0.000	0.627	1.089	0	0	4.243	4.243
17	5.706	5.550	5.808	55319	4243	13.039	0.000	 V 			2.200	1136	132.041	0.000	0.680	1.115	0	0	0.000	0.000
18	5.922	5.808	6.033	54231	4820	11.251	0.000	 V 			2.322	2069	72.505	0.000	0.362	1.055	0	0	0.000	0.000
19	6.185	6.033	6.342	129541	10375	12.486	0.000	 V 			2.470	4162	36.038	0.000	0.582	1.064	0	0	0.000	0.000
20	6.485	6.342	6.758	193344	17988	10.749	0.000	 V 			2.638	8651	17.340	0.000	0.905	1.068	0	0	0.000	0.000
21	7.214	6.758	7.342	158397	7971	19.872	413.408	 V 	9	cyclopent-2-en-1-one	3.046	1236	121.349	0.000	1.325	1.155	0	0	0.082	0.082
22	7.487	7.342	7.683	152135	10776	14.117	262.444	 V 	10	3-methyl-(2H)-furan-5-one	3.199	4306	34.839	0.000	0.427	1.050	0	0	0.052	0.052
23	7.722	7.683	7.875	40642	3898	10.425	0.000	 V 			3.331	34	4445.530	0.000	0.081	1.041	0	0	0.000	0.000
24	7.987	7.875	8.867	99851	3454	28.907	0.000	 V 			3.480	1188	126.251	0.000	0.085	1.045	0	0	0.000	0.000
25	9.392	8.867	9.792	100626	3891	25.860	944.127	 V 	7	5-(hydroxymethyl)furan-2-carbaldehyde	4.268	4742	31.635	0.000	1.909	1.227	0	0	0.187	0.187
26	10.016	9.792	10.217	51612	2921	17.666	1515.983	 V 	11	furan-2-carbaldehyde	4.618	5161	29.062	0.000	1.131	1.082	0	0	0.300	0.300
27	10.417	10.217	10.792	50048	2302	21.739	0.000	 V 			4.843	2414	62.135	0.000	0.570	1.049	0	0	0.000	0.000
28	11.305	10.792	11.508	54960	2125	25.861	0.000	 V 			5.341	3646	41.136	0.000	1.112	1.103	0	0	0.000	0.000
29	11.893	11.508	12.583	72513	1853	39.124	0.000	 V 			5.671	962	155.985	0.000	0.515	1.062	0	0	0.000	0.000
30	13.159	12.583	14.100	45353	1062	42.701	0.000	 V 			6.381	2279	65.828	0.000	0.960	1.125	0	0	0.000	0.000
31	14.757	14.208	21.233	17077195	978929	17.445	26491.525	S  	18	1,2-benzenediol	7.277	42147	3.559	3.404	2.298	1.140	0	0	5.250	5.250
32	14.947	14.900	14.983	-12929	-740	17.462	0.000	T  M			7.384	1248090	0.120	0.000	1.117	1.015	0	0	0.000	0.000
33	15.115	15.067	15.175	8044	3804	2.115	0.000	T  M			7.478	416046	0.361	1.054	2.281	1.013	0	0	0.000	0.000
34	15.308	15.200	15.400	38332	7599	5.044	414.660	T  M	8	cyclopentane-1,3-dione	7.587	134897	1.112	0.885	1.483	1.014	0	0	0.082	0.082
35	15.898	15.842	16.008	22284	4606	4.838	77.334	T  	19	2-methoxyphenol	7.917	198684	0.755	1.364	3.814	1.044	0	0	0.015	0.015
36	16.274	16.175	16.467	39403	5537	7.117	205.391	T  	17	4-methylphenol	8.128	101310	1.481	1.380	2.166	1.027	0	0	0.041	0.041

