[Header]
Application Name	LabSolutions
Version	5.97
Data File Name	C:\Users\AG-LAB-EME2L\Desktop\Goldfarb Lab\Matteo\FW-CP-HTC\210_FW250C1h1_1_Method_F.7-.5-.7_B0-60-0_25min_210nm_4.lcd
Output Date	6/9/2023
Output Time	11:17:45 AM

[Configuration]
Instrument Name	MUFASA UV
Instrument #	6
Line #	1
# of Detectors	1
Detector ID	Detector A
Detector Name	Detector A
# of Channels	1

[Peak Table(Detector A)]
# of Peaks	35
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.794	1.475	1.858	13793	1904	7.243	0.000	   			0.000	948	158.154	0.000	0.000	0.000	0	0	0.000	0.000
2	1.954	1.858	1.983	24522	4356	5.630	1074.087	 V 	20	(2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanoic acid	0.089	298	503.753	0.000	0.467	0.000	0	0	2.256	2.256
3	2.188	1.983	2.317	403050	60983	6.609	722.614	 V 	21	oxalic acid	0.220	2777	54.013	0.000	0.756	2.460	0	0	1.518	1.518
4	2.388	2.317	2.433	66071	11248	5.874	1199.263	 V 	2	formic acid	0.332	735	203.991	0.000	0.773	1.508	0	0	2.519	2.519
5	2.530	2.433	2.667	195439	19435	10.056	3692.475	 V M	24	2-hydroxypropanoic acid	0.410	1021	146.917	0.000	0.423	1.238	0	0	7.757	7.757
6	2.739	2.667	3.333	1150362	195110	5.896	35728.942	SV M	5	acetic acid	0.527	6607	22.703	2.383	0.925	1.284	0	0	75.061	75.061
7	3.152	3.058	3.200	35989	6944	5.183	0.000	T  			0.757	4276	35.081	0.000	2.526	1.438	0	0	0.000	0.000
8	3.258	3.200	3.333	35802	7092	5.048	0.000	TV 			0.816	4315	34.766	0.000	0.542	1.078	0	0	0.000	0.000
9	3.445	3.333	3.558	448875	59109	7.594	0.000	 V 			0.920	4125	36.366	0.000	0.902	1.127	0	0	0.000	0.000
10	3.602	3.558	3.883	229730	20958	10.961	57.285	 V 	6	2H-furan-5-one	1.008	373	401.985	0.000	0.327	1.095	0	0	0.120	0.120
11	4.019	3.883	4.117	176132	17881	9.850	0.000	 V M			1.241	2157	69.550	0.000	0.765	1.231	0	0	0.000	0.000
12	4.129	4.117	4.467	131155	11012	11.911	0.000	 V M			1.302	0	0.000	0.000	0.000	1.049	0	0	0.000	0.000
13	4.510	4.467	4.617	27674	3294	8.401	0.000	 V 			1.514	49	3043.732	0.000	0.000	1.163	0	0	0.000	0.000
14	4.777	4.617	4.883	63423	5095	12.448	0.000	 V 			1.663	1735	86.456	0.000	0.176	1.098	0	0	0.000	0.000
15	5.000	4.883	5.142	75477	7071	10.674	22.660	 V 	22	(E)-but-2-enedioic acid	1.787	3645	41.149	0.000	0.565	1.075	0	0	0.048	0.048
16	5.298	5.142	5.567	121265	7059	17.178	2117.812	 V 	4	propanoic acid	1.953	654	229.370	0.000	0.514	1.093	0	0	4.449	4.449
17	5.663	5.567	5.867	60570	3712	16.319	0.000	 V 			2.157	139	1075.863	0.000	0.266	1.104	0	0	0.000	0.000
18	6.167	5.867	6.400	184603	9691	19.050	0.000	 V 			2.438	1652	90.801	0.000	0.400	1.130	0	0	0.000	0.000
19	6.476	6.400	6.708	60643	5050	12.009	0.000	 V 			2.610	1657	90.541	0.000	0.497	1.071	0	0	0.000	0.000
20	7.183	6.708	7.300	137598	7186	19.149	40.303	 V 	9	cyclopent-2-en-1-one	3.005	1058	141.772	0.000	0.931	1.151	0	0	0.085	0.085
21	7.474	7.300	7.692	169214	10651	15.886	25.940	 V 	10	4-methyl-(2H)-furan-5-one	3.167	3879	38.674	0.000	0.426	1.054	0	0	0.054	0.054
22	7.862	7.692	8.225	107632	4529	23.763	0.000	 V 			3.383	587	255.626	0.000	0.437	1.068	0	0	0.000	0.000
23	8.325	8.225	8.817	36429	1571	23.184	0.000	 V 			3.641	348	430.939	0.000	0.300	1.076	0	0	0.000	0.000
24	9.377	8.817	9.783	102544	4417	23.216	107.169	 V 	7	5-(hydroxymethyl)furan-2-carbaldehyde	4.228	6248	24.007	0.000	0.932	1.161	0	0	0.225	0.225
25	9.994	9.783	10.208	42370	2434	17.408	142.828	 V 	11	furan-2-carbaldehyde	4.572	6004	24.984	0.000	1.246	1.081	0	0	0.300	0.300
26	10.443	10.208	10.875	45633	2480	18.404	0.000	 V 			4.822	6032	24.869	0.000	0.851	1.055	0	0	0.000	0.000
27	11.280	10.892	11.517	49791	2455	20.282	0.000	   			5.288	5323	28.179	0.000	1.448	1.097	0	0	0.000	0.000
28	11.628	11.517	11.725	17275	1395	12.380	0.000	 V 			5.483	31	4837.322	0.000	0.078	1.037	0	0	0.000	0.000
29	11.875	11.725	12.550	35257	1363	25.872	0.000	 V 			5.620	169	885.504	0.000	0.041	1.025	0	0	0.000	0.000
30	13.088	12.633	14.100	31507	666	47.281	0.000	   M			6.296	4569	32.830	1.813	0.549	1.120	0	0	0.000	0.000
31	14.767	14.300	20.717	16556996	970467	17.061	2626.255	S  	18	1,2-benzenediol	7.232	42640	3.518	3.257	3.166	1.149	0	0	5.517	5.517
32	15.130	15.075	15.175	4119	2144	1.921	11.828	T  M	8	cyclopentane-1,3-dione	7.435	525773	0.285	0.877	1.967	1.028	0	0	0.025	0.025
33	15.325	15.208	15.408	26994	6065	4.450	0.000	T  M			7.543	165166	0.908	0.820	1.660	1.015	0	0	0.000	0.000
