[Header]
Application Name	LabSolutions
Version	5.97
Data File Name	C:\Users\AG-LAB-EME2L\Desktop\Goldfarb Lab\Matteo\FW-CP-HTC\254_FWCP250C1h1_1_Method_F1-.2-1_B0-60-0_25min_254nm_4.lcd
Output Date	6/9/2023
Output Time	11:24:14 AM

[Configuration]
Instrument Name	MUFASA UV
Instrument #	6
Line #	1
# of Detectors	1
Detector ID	Detector A
Detector Name	Detector A
# of Channels	1

[Peak Table(Detector A)]
# of Peaks	37
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.343	1.192	1.458	32361	6314	5.125	0.000	   	16	2-methylcyclopentanone	0.000	1331	112.725	0.000	0.000	0.000	0	0	0.000	0.000
2	1.538	1.458	1.633	42150	8481	4.970	0.000	 V 			0.145	1788	83.892	0.000	1.330	0.000	0	0	0.000	0.000
3	1.671	1.633	1.742	12202	2062	5.918	0.000	 V 			0.243	332	452.095	0.000	0.517	1.680	0	0	0.000	0.000
4	1.786	1.742	1.850	12377	2138	5.788	0.000	 V 			0.329	395	379.296	0.000	0.317	1.352	0	0	0.000	0.000
5	1.891	1.850	1.950	53795	16902	3.183	0.000	 V M			0.408	6199	24.196	0.000	0.463	1.238	0	0	0.000	0.000
6	1.963	1.950	2.083	16243	2955	5.497	0.000	 V M			0.461	0	0.000	0.000	0.000	1.131	0	0	0.000	0.000
7	2.173	2.083	2.292	44181	6981	6.329	0.000	 V 			0.617	2352	63.774	0.000	0.000	1.339	0	0	0.000	0.000
8	2.383	2.292	2.633	23721	2128	11.148	0.000	 V 			0.773	881	170.196	0.000	0.840	1.253	0	0	0.000	0.000
9	2.738	2.642	2.850	1664	254	6.550	0.000	   M			1.038	3511	42.728	1.025	1.406	1.342	0	0	0.000	0.000
10	2.928	2.850	3.075	1474	227	6.480	0.000	   M			1.180	4033	37.195	1.311	1.030	1.136	0	0	0.000	0.000
11	3.246	3.100	3.458	15363	1706	9.003	0.000	 V 			1.416	3707	40.467	0.000	1.595	1.200	0	0	0.000	0.000
12	3.640	3.525	3.783	2524	273	9.234	152.743	   M	13	(E)-but-2-enedioic acid	1.710	3549	42.261	1.125	1.725	1.208	0	0	0.328	0.328
13	3.945	3.783	4.267	30005	1631	18.398	35974.354	 V 	15	4-oxopentanoic acid	1.937	1352	110.969	0.000	0.905	1.133	0	0	77.136	77.136
14	4.382	4.267	4.492	14305	1600	8.939	0.000	 V 			2.262	4142	36.214	0.000	1.246	1.168	0	0	0.000	0.000
15	4.538	4.492	4.642	892	189	4.733	0.000	   M			2.378	17859	8.399	1.560	0.764	1.051	0	0	0.000	0.000
16	4.881	4.725	5.158	3968	304	13.068	0.000	   M			2.633	4332	34.624	1.472	1.586	1.107	0	0	0.000	0.000
17	5.275	5.158	5.400	1728	260	6.656	0.000	   M			2.926	12290	12.205	1.054	1.618	1.111	0	0	0.000	0.000
18	5.533	5.400	5.792	2717	256	10.630	1178.323	   M	10	2-methyl-2-cyclopenten-1-one	3.118	5857	25.609	1.376	1.076	1.066	0	0	2.527	2.527
19	6.003	5.833	6.225	2943	355	8.287	5431.816	   M	17	hexane-2,5-dione	3.468	9390	15.975	0.934	1.749	1.112	0	0	11.647	11.647
20	6.329	6.225	6.417	1472	215	6.841	0.000	   M			3.711	19763	7.590	0.911	1.524	1.070	0	0	0.000	0.000
21	6.729	6.417	6.958	29641	2162	13.709	0.000	 V 			4.008	7173	20.913	0.000	1.608	1.080	0	0	0.000	0.000
22	7.201	6.983	7.600	9649	561	17.211	0.000	   M			4.360	3575	41.957	1.346	1.181	1.088	0	0	0.000	0.000
23	8.333	7.900	8.617	56100	3505	16.006	0.000	   			5.202	6712	22.347	0.000	2.548	1.193	0	0	0.000	0.000
24	8.875	8.617	9.158	37068	2720	13.629	0.000	 V 			5.606	9307	16.118	0.000	1.400	1.078	0	0	0.000	0.000
25	9.297	9.175	9.625	2959	241	12.277	0.000	   M			5.920	12488	12.012	1.673	1.204	1.056	0	0	0.000	0.000
26	10.255	9.717	10.992	327718	20800	15.756	959.448	   	1	3-methyl-1,2-cyclopentanedione	6.633	10198	14.709	1.160	2.592	1.120	0	0	2.057	2.057
27	11.403	11.025	12.092	9431	334	28.234	0.000	   M			7.488	4144	36.201	1.277	2.059	1.129	0	0	0.000	0.000
28	15.335	12.250	16.200	12501	95	131.757	0.000	   M			10.415	447	335.573	0.640	2.179	1.391	0	0	0.000	0.000
29	17.931	17.333	18.558	6939613	369106	18.801	0.000	   M			12.347	22495	6.668	1.274	1.536	1.186	0	0	0.000	0.000
30	18.691	18.558	18.967	145029	11778	12.313	0.000	   M			12.913	51825	2.894	1.417	1.884	1.046	0	0	0.000	0.000
31	19.129	19.117	19.367	14302	240	59.679	50.829	   M	2	phenol	13.239	121907	1.230	10.235	1.600	1.025	0	0	0.109	0.109
32	19.513	19.500	19.892	26003	139	187.294	0.000	   M			13.524	43734	3.430	18.956	1.294	1.022	0	0	0.000	0.000
33	20.220	20.008	20.575	99989	6007	16.646	1811.478	   	3	2,6-dimethoxyphenol	14.051	32938	4.554	1.285	1.728	1.039	0	0	3.884	3.884
34	20.936	20.800	21.158	27128	2556	10.611	592.777	   	11	2-methoxyphenol	14.583	81653	1.837	1.243	1.938	1.038	0	0	1.271	1.271
35	21.808	21.758	22.108	3442	191	18.065	139.625	   	9	4-methylphenol	15.233	103040	1.456	0.000	3.088	1.045	0	0	0.299	0.299
36	22.191	22.108	22.458	6917	518	13.352	177.175	 V 	6	2-methoxy-4-methylphenol	15.518	68979	2.175	0.000	1.256	1.019	0	0	0.380	0.380
37	23.858	23.783	24.025	2183	278	7.847	169.121	   	4	2,4-dimethylphenol	16.759	177344	0.846	1.602	5.907	1.080	0	0	0.363	0.363

