[Header]
Application Name	LabSolutions
Version	5.97
Data File Name	C:\Users\AG-LAB-EME2L\Desktop\Goldfarb Lab\Matteo\FW-CP-HTC\254_FW250C1h1_1_Method_F1-.2-1_B0-60-0_25min_254nm_6.lcd
Output Date	6/9/2023
Output Time	11:38:24 AM

[Configuration]
Instrument Name	MUFASA UV
Instrument #	6
Line #	1
# of Detectors	1
Detector ID	Detector A
Detector Name	Detector A
# of Channels	1

[Peak Table(Detector A)]
# of Peaks	32
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.356	1.258	1.475	33070	6650	4.973	0.000	   	16	2-methylcyclopentanone	0.000	1408	106.511	0.000	0.000	0.000	0	0	0.000	0.000
2	1.552	1.475	1.642	40585	8334	4.870	0.000	 V 			0.145	1841	81.499	0.000	1.356	0.000	0	0	0.000	0.000
3	1.679	1.642	1.750	11747	1995	5.887	0.000	 V 			0.238	309	485.824	0.000	0.483	1.649	0	0	0.000	0.000
4	1.794	1.750	1.850	11561	2123	5.446	0.000	 V 			0.323	392	382.745	0.000	0.309	1.356	0	0	0.000	0.000
5	1.892	1.850	1.975	57054	17296	3.299	0.000	 V M			0.395	6477	23.158	0.000	0.428	1.223	0	0	0.000	0.000
6	1.995	1.975	2.092	11901	2315	5.140	0.000	 V M			0.471	126	1189.967	0.000	0.255	1.192	0	0	0.000	0.000
7	2.175	2.092	2.308	40760	6686	6.096	0.000	 V 			0.604	2531	59.262	0.000	0.407	1.282	0	0	0.000	0.000
8	2.418	2.308	2.667	18155	1891	9.601	0.000	 V 			0.783	1290	116.268	0.000	1.101	1.297	0	0	0.000	0.000
9	2.761	2.692	3.075	3156	293	10.763	0.000	   M			1.036	2998	50.035	2.704	1.455	1.323	0	0	0.000	0.000
10	3.243	3.083	3.417	13032	1883	6.923	0.000	   M			1.392	4520	33.183	1.175	2.447	1.344	0	0	0.000	0.000
11	3.661	3.417	3.742	4874	599	8.143	33.450	 V M	13	(E)-but-2-enedioic acid	1.700	3880	38.662	0.000	1.950	1.221	0	0	0.723	0.723
12	3.945	3.742	4.100	19565	1552	12.607	3480.964	 V M	15	4-oxopentanoic acid	1.909	2098	71.503	0.000	0.979	1.123	0	0	75.266	75.266
13	4.177	4.100	4.275	6201	727	8.527	0.000	 V M			2.081	1308	114.680	0.000	0.577	1.090	0	0	0.000	0.000
14	4.380	4.275	4.625	9949	1157	8.598	0.000	 V M			2.231	5778	25.962	0.000	0.587	1.072	0	0	0.000	0.000
15	4.866	4.708	5.075	2123	244	8.686	0.000	   M			2.589	7010	21.397	1.029	2.100	1.161	0	0	0.000	0.000
16	5.262	5.083	5.392	1904	257	7.410	0.000	   M			2.881	10404	14.418	0.831	1.803	1.113	0	0	0.000	0.000
17	5.522	5.450	5.725	1818	228	7.974	105.067	   M	10	2-methyl-2-cyclopenten-1-one	3.073	9834	15.254	1.643	1.214	1.067	0	0	2.272	2.272
18	5.988	5.808	6.175	3608	402	8.985	614.193	   M	17	hexane-2,5-dione	3.416	9062	16.552	0.993	1.963	1.112	0	0	13.280	13.280
19	6.714	6.417	6.958	25681	1656	15.505	0.000	 V 			3.952	4938	30.374	0.000	2.291	1.157	0	0	0.000	0.000
20	7.204	6.992	7.508	5461	309	17.652	0.000	   M			4.313	3539	42.387	1.253	1.131	1.091	0	0	0.000	0.000
21	8.317	7.625	8.592	53543	2581	20.742	0.000	 V 			5.134	4607	32.559	0.000	2.285	1.190	0	0	0.000	0.000
22	8.859	8.592	9.175	48891	3086	15.845	0.000	 V 			5.534	7690	19.506	0.000	1.213	1.078	0	0	0.000	0.000
23	10.233	9.617	10.975	319644	20301	15.745	93.643	 V 	1	3-methyl-1,2-cyclopentanedione	6.547	10201	14.705	1.158	3.394	1.183	0	0	2.025	2.025
24	17.959	17.217	18.575	6912441	364270	18.976	0.000	   M			12.246	21724	6.905	1.227	17.311	1.870	0	0	0.000	0.000
25	18.700	18.575	18.967	130091	11145	11.672	0.000	   M			12.792	55011	2.727	1.467	1.838	1.045	0	0	0.000	0.000
26	19.121	19.108	19.400	16581	124	133.965	2.625	   M	2	phenol	13.103	91268	1.644	18.629	1.471	1.024	0	0	0.057	0.057
27	19.579	19.567	19.958	31960	195	163.854	0.000	   M			13.441	52856	2.838	16.614	1.544	1.026	0	0	0.000	0.000
28	20.247	20.042	20.592	102593	6791	15.107	204.800	   M	3	2,6-dimethoxyphenol	13.933	39548	3.793	1.242	1.786	1.037	0	0	4.428	4.428
29	20.960	20.825	21.200	27363	2505	10.925	58.074	   M	11	2-methoxyphenol	14.459	77580	1.933	1.293	2.011	1.038	0	0	1.256	1.256
30	21.629	21.583	22.083	5998	76	78.458	5.602	   M	9	4-methylphenol	14.953	33865	4.429	5.653	1.737	1.034	0	0	0.121	0.121
31	22.204	22.133	22.450	4618	347	13.320	11.857	   M	6	2-methoxy-4-methylphenol	15.377	100487	1.493	2.152	1.533	1.028	0	0	0.256	0.256
32	23.863	23.792	24.033	2053	240	8.548	14.597	   M	4	2,4-dimethylphenol	16.600	182398	0.822	1.695	6.587	1.080	0	0	0.316	0.316

